S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,A,BVHD163366,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,RNT TRANSPORT,BVHD163366,"DASMILE, RANCHI",,,NDHM115069,,,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,30-Nov-22,30-Nov-24,21-Nov-22,CC-01856774,,3530,,3815,3977,4212,0,4340,05-02-2026,4340,0,4340,19-02-2026,0,0,0,0,0,0,30-11-2022,4340,1162,,,0,30-11-2022,4340,1162,0,30-11-2022,4340,1162,0,30-11-2022,4340,1162,0,30-11-2022,4340,1162,Active,,,0,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,A,BVHD163388,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),Keerathana enterprises,BVHD163388,KEREDARI,,,NBHM118832,,,A (100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,14-Jan-23,14-Jan-25,30-Nov-22,CC-01857011,,5515,,5910,6136,6465,0,6015,05-02-2026,6015,0,0,30-12-2024,0,0,0,0,0,0,14-01-2023,6015,1118,,,0,14-01-2023,6015,1118,0,14-01-2023,6015,1118,0,14-01-2023,6015,1118,0,14-01-2023,6015,1118,Active,,,0,02-Oct-24,29-Dec-24,29-Dec-24,29-Dec-24,29-Dec-24,02-Oct-24,14-Mar-24,12-Mar-24,02-Oct-24
Out of Warranty,A,BWLD231345,DPSAC - SKID (C&M),Out of warranty,PG 1100,ABHISHEK SONI,BWLD231345,"BARKAGAON, HAZARIBAGH",,,25481058,,,A (100% potential spares purchased),,Bikram  Sahoo,01-Aug-23,01-Aug-25,30-Mar-23,CC-01856989,,4465,,4520,4552,4599,0,4520,05-02-2026,4520,0,0,23-04-2025,0,0,0,0,0,0,01-08-2023,4520,919,,,0,01-08-2023,4520,919,0,01-08-2023,4520,919,0,01-08-2023,4520,919,0,01-08-2023,4520,919,Active,,,0,01-Sep-24,21-Apr-25,07-Feb-24,21-Apr-25,21-Apr-25,21-Jan-25,17-Jun-24,17-Jun-24,21-Jan-25
Out of Warranty,A,BWJD163502,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),VENKATESHWARA BOREWELL,BWJD163502,GODDA,,,PNHM100723,,,A (100% potential spares purchased),,Bikram  Sahoo,03-Mar-23,03-Mar-25,09-Feb-23,CC-01857017,,1655,,1655,1655,1655,0,1655,05-02-2026,1655,0,1655,30-01-2026,0,0,0,0,0,0,03-03-2023,1655,1069,,,0,03-03-2023,1655,1069,0,03-03-2023,1655,1069,0,03-03-2023,1655,1069,0,03-03-2023,1655,1069,Active,,,0,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26
Warranty,B,BWED163889,DPSAC - SKID (WW),In Standard Warranty,PG 575S-225,SSK RIG SERVICE,BWED163889,"DALADALI, RANCHI",Samarjit,ALUW06DTI,PHHM111582,#N/A,#N/A,B (Below 100% potential spares purchased),"WW END CUSTOMER - 4½""                                                           ",Bikram  Sahoo,18-Jan-24,18-Jan-27,13-Sep-23,CC-01860240,,4580,4675,4770,4882,5405,5195,5469,05-02-2026,5469,0,5395,21-01-2026,0,0,0,0,0,0,18-01-2024,5469,748,,,0,18-01-2024,5469,748,0,18-01-2024,5469,748,0,18-01-2024,5469,748,0,18-01-2024,5469,748,Active,,,0,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26
Out of Warranty,A,BWBD163707,DPSAC - SKID (C&M),Out of warranty,PG 500-185,ELITE INFRASTRUCTURE,BWBD163707,BARHI,,,PLHM104522,,,A (100% potential spares purchased),,Bikram  Sahoo,01-Jun-23,01-Jun-25,18-May-23,CC-01856937,,1825,,1880,1912,1959,0,1895,05-02-2026,1895,0,681,04-09-2023,0,0,0,0,0,0,01-06-2023,1895,979,,,0,01-06-2023,1895,979,0,01-06-2023,1895,979,0,01-06-2023,1895,979,0,01-06-2023,1895,979,Active,,,0,03-Sep-23,03-Sep-23,03-Sep-23,03-Sep-23,03-Sep-23,,,,
Out of Warranty,A,BWBD163738,DPSAC - SKID (C&M),Out of warranty,PG 500-185,YUGARTH INFRA LLP,BWBD163738,PETARWAR,,,PKHM107149,05-11-2024,2249,A (100% potential spares purchased),,Bikram  Sahoo,10-Jun-23,10-Jun-25,01-Jun-23,CC-01831425,,,1632,,0,1632,0,0,05-02-2026,1632,0,1086,29-03-2024,0,0,0,0,0,0,10-06-2023,1632,971,,,0,10-06-2023,1632,971,0,10-06-2023,1632,971,0,10-06-2023,1632,971,0,10-06-2023,1632,971,Active,,,0,29-Mar-24,29-Mar-24,29-Mar-24,29-Mar-24,29-Mar-24,09-Jun-23,09-Jun-23,09-Jun-23,09-Jun-23
Out of Warranty,B,BWID164086,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),MANOJ KUMAR,BWID164086,"TETULMARI, DHANBAD",Amit,ALUW06DTI,PGHM115249,#N/A,#N/A,B (Below 100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,15-Jan-24,15-Jan-26,28-Dec-23,CC-01860235,,1400,1400,1445,1506,1523,#N/A,#N/A,05-02-2026,#N/A,0,1500,12-01-2026,0,0,0,0,0,0,15-01-2024,#N/A,751,,,0,15-01-2024,#N/A,751,0,15-01-2024,#N/A,751,0,15-01-2024,#N/A,751,0,15-01-2024,#N/A,751,Active,,,0,11-Jan-26,11-Jan-26,11-Jan-26,11-Jan-26,11-Jan-26,11-Jan-26,12-Jan-26,11-Jan-26,15-Jan-25
Warranty,B,BWID164096,DPSAC - SKID (C&M),In Standard Warranty,PG 575-225 (SKID),SUBHAM BOREWELLS,BWID164096,CHAS BOKARO,Amit,ALUW06DTI,PEHM117527,#N/A,#N/A,B (Below 100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,15-Mar-24,15-Mar-26,02-Jan-24,CC-01860429,,2980,3130,3270,3329,3422,3385,3386,05-02-2026,3386,0,3386,06-02-2026,0,0,0,0,0,0,15-03-2024,3386,692,,,0,15-03-2024,3386,692,0,15-03-2024,3386,692,0,15-03-2024,3386,692,0,15-03-2024,3386,692,Active,,,0,05-Feb-26,04-Jun-25,04-Jun-25,05-Feb-26,05-Feb-26,04-Jun-25,04-Jun-25,04-Jun-25,04-Jun-25
Out of Warranty,A,BVFD163274,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),BROSHAN INDIA PVT LTD,BVFD163274,0,,,NA,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,23-Nov-22,23-Nov-24,23-Sep-22,CC-01831588,,,3970,,0,4805,#N/A,#N/A,05-02-2026,#N/A,0,3500,13-08-2025,0,0,0,0,0,0,23-11-2022,#N/A,1169,,,0,23-11-2022,#N/A,1169,0,23-11-2022,#N/A,1169,0,23-11-2022,#N/A,1169,0,23-11-2022,#N/A,1169,Active,,,0,12-Aug-25,12-Aug-25,12-Aug-25,12-Aug-25,12-Aug-25,11-Aug-24,12-Aug-25,11-Aug-24,11-Aug-24
Warranty,B,BWHD164003,DPSAC - SKID (WW),In Standard Warranty,PG 575S-225,BHARTI BOREWELL,BWHD164003,BEGUSARAI,,,PFHM116300,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,15-Nov-23,15-Nov-26,09-Nov-23,CC-01860596,,1745,1800,1850,1909,,1950,1980,05-02-2026,1980,0,0,25-11-2024,0,0,0,0,0,0,15-11-2023,1980,813,,,0,15-11-2023,1980,813,0,15-11-2023,1980,813,0,15-11-2023,1980,813,0,15-11-2023,1980,813,Active,,,0,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24,23-Nov-24
Out of Warranty,B,BVHD163331,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),JRR PROJECTS,BVHD163331,BHORA,,,NFHN111426,#N/A,#N/A,B (Below 100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,26-Dec-23,26-Dec-25,03-Nov-22,CC-01861197,,3845,4000,4195,4327,4609,0,4195,05-02-2026,4195,0,0,09-06-2025,0,0,0,0,0,0,26-12-2023,4195,771,,,0,26-12-2023,4195,771,0,26-12-2023,4195,771,0,26-12-2023,4195,771,0,26-12-2023,4195,771,Active,,,Inactive,10-Mar-25,08-Jun-25,08-Jun-25,08-Jun-25,08-Jun-25,08-Jun-25,27-May-24,07-Oct-24,08-Jun-25
Out of Warranty,B,BVGD163308,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),SRI LAXMI DRILLERS,BVGD163308,DHANBAD,,,NFHM111428,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,14-Nov-22,14-Nov-24,17-Oct-22,CC-01856792,,4460,,4686,4816,,#N/A,#N/A,05-02-2026,#N/A,0,3712,11-11-2024,0,0,0,0,0,0,14-11-2022,#N/A,1178,,,0,14-11-2022,#N/A,1178,0,14-11-2022,#N/A,1178,0,14-11-2022,#N/A,1178,0,14-11-2022,#N/A,1178,Active,Shifted to WB,,Shifted to WB,10-Nov-24,10-Nov-24,10-Nov-24,10-Nov-24,20-Feb-24,30-May-24,,10-Sep-23,30-May-24
Out of Warranty,B,BVID121546,DPSAC - SKID (C&M),Out of warranty,PG 330-100,Daewoo L&T JV Patna,BVID121546,#N/A,,,,,,B (Below 100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,06-Feb-23,06-Feb-25,22-Dec-22,CC-01831307,,,1300,,1300,1300,0,0,05-02-2026,1300,0,No Service,NO Service,0,0,0,0,0,0,06-02-2023,1300,1095,,,0,06-02-2023,1300,1095,0,06-02-2023,1300,1095,0,06-02-2023,1300,1095,0,06-02-2023,1300,1095,Active,,,0,,,,,,,,,
Out of Warranty,B,BWID164076,DPSAC - SKID (C&M),out of Warranty,PG 575-225 (SKID),BLA PROJECTS PVT. LTD.,BWID164076,"PHUSHRO, BOKARO",Amit,ALUW06DTI,PFHM116309,#N/A,#N/A,B (Below 100% potential spares purchased),DRILLING OE'S                                                                   ,Bikram  Sahoo,12-Feb-24,12-Feb-26,26-Dec-23,CC-01860263,,1410,1410,1410,1410,1410,#N/A,#N/A,05-02-2026,#N/A,0,0,16-06-2025,0,0,0,0,0,0,12-02-2024,#N/A,724,,,0,12-02-2024,#N/A,724,0,12-02-2024,#N/A,724,0,12-02-2024,#N/A,724,0,12-02-2024,#N/A,724,In Active,Project close,,,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25,15-Jun-25
Out of Warranty,A,BWJL153355,EPSAC - TROLLEY,Out of warranty,PG 45 E-7,TUSHAR KANT TRIPATHY,BWJL153355,BEGUSARAI,,NA,NA,,,A (100% potential spares purchased),,Bikram  Sahoo,24-Feb-23,24-Feb-25,25-Jan-23,CC-01831401,,,5120,,0,5956,0,0,05-02-2026,5956,0,1925,06-01-2024,0,0,0,0,0,0,24-02-2023,5956,1077,,,0,24-02-2023,5956,1077,0,24-02-2023,5956,1077,0,24-02-2023,5956,1077,0,24-02-2023,5956,1077,Active,,,0,05-Jan-24,05-Jan-24,,05-Jan-24,05-Jan-24,,,,
Out of Warranty,B,BWHD164004,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),JMD RIG SERVICE,BWHD164004,"MAHUDA MORE, DHANBAD",Amit,ALUW06DTI,PFHM116301,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,16-Dec-23,16-Dec-25,09-Nov-23,CC-01860192,,3770,3860,3955,4072,4260,0,3955,05-02-2026,3955,0,3750,04-09-2025,0,0,0,0,0,0,16-12-2023,3955,781,,,0,16-12-2023,3955,781,0,16-12-2023,3955,781,0,16-12-2023,3955,781,0,16-12-2023,3955,781,Active,,,0,03-Sep-25,01-Sep-25,01-Sep-25,01-Sep-25,01-Sep-25,01-Apr-25,01-Apr-25,01-Apr-25,01-Apr-25
Out of Warranty,B,BWHD164015,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),SMR BOREWELL,BWHD164015,"BHURKUNDA,Ramgardh",Samarjit,ALUW06DTI,PFHM116307,#N/A,#N/A,B (Below 100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,07-Dec-23,07-Dec-25,22-Nov-23,CC-01860157,,3995,4035,4250,4342,4466,0,4250,05-02-2026,4250,0,4325,19-12-2025,0,0,0,0,0,0,07-12-2023,4250,790,,,0,07-12-2023,4250,790,0,07-12-2023,4250,790,0,07-12-2023,4250,790,0,07-12-2023,4250,790,Active,,,0,18-Dec-25,14-Nov-25,14-Nov-25,18-Dec-25,18-Dec-25,14-Nov-25,14-Nov-25,08-Apr-25,08-Apr-25
Warranty,B,BWHD164039,DPSAC - SKID (WW),In Standard Warranty,PG 575S-225,PRASANT BOREWELL,BWHD164039,RANCHI,Samarjit,ALUW06DTI,PDHM119802,20-05-2025,1747,B (Below 100% potential spares purchased),,Bikram  Sahoo,02-Mar-24,02-Mar-27,30-Nov-23,CC-01860374,,2100,2200,2295,2325,3283,3265,3300,05-02-2026,3300,0,3300,19-02-2026,0,0,0,0,0,0,02-03-2024,3300,704,,,0,02-03-2024,3300,704,0,02-03-2024,3300,704,0,02-03-2024,3300,704,0,02-03-2024,3300,704,Active,,,0,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,B,BVID121541,DPSAC - SKID (C&M),Out of warranty,PG 330-100,Daewoo-L & T JV,BVID121541,#N/A,,,,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,12-Jan-23,12-Jan-25,22-Dec-22,CC-01831382,,,2460,,2690,2878,0,0,05-02-2026,2878,0,No Service,NO Service,0,0,0,0,0,0,12-01-2023,2878,1120,,,0,12-01-2023,2878,1120,0,12-01-2023,2878,1120,0,12-01-2023,2878,1120,0,12-01-2023,2878,1120,Active,,,0,,,,,,,,,
Out of Warranty,A,BWCD121690,DPSAC - TROLLEY (C&M),Out of warranty,PG 330-150,Tara Engineering,BWCD121690,MOHAGAMA,,,PNHM101718,,,A (100% potential spares purchased),"GUNNETING,SHOT BLASTING,PAINTI                                                  ",Bikram  Sahoo,08-Jul-23,08-Jul-25,21-Jun-23,CC-01856982,,2015,,2240,2369,2557,0,2300,05-02-2026,2300,0,0,18-04-2025,0,0,0,0,0,0,08-07-2023,2300,943,,,0,08-07-2023,2300,943,0,08-07-2023,2300,943,0,08-07-2023,2300,943,0,08-07-2023,2300,943,Active,,,0,01-Apr-24,17-Apr-25,17-Apr-25,17-Apr-25,17-Apr-25,17-Apr-25,07-Jul-23,07-Jul-23,07-Jul-23
Out of Warranty,B,BWID220970,DPSAC - TROLLEY (C&M),Out of warranty,PG 450-200,D & A CONSTRUCTIONS PVT LTD,BWID220970,KODERMA,Amit,ALUW04DTI,PDHM120834,26-11-2024,2459,B (Below 100% potential spares purchased),,Bikram  Sahoo,08-Jan-24,08-Jan-26,27-Dec-23,CC-01860226,,2035,2035,2035,2035,2035,#N/A,#N/A,05-02-2026,#N/A,0,908,15-03-2024,0,0,0,0,0,0,08-01-2024,#N/A,758,,,0,08-01-2024,#N/A,758,0,08-01-2024,#N/A,758,0,08-01-2024,#N/A,758,0,08-01-2024,#N/A,758,Active,,,0,15-Mar-24,15-Mar-24,15-Mar-24,15-Mar-24,15-Mar-14,15-Mar-24,15-Mar-14,15-Mar-24,15-Mar-24
Warranty,B,BXJD231746,DPSAC - SKID (WW),In Standard Warranty,PG 1100,ABHISHEK SONI,BXJD231746,"PIPARWAR,chatra",cummins,NTA 855 C,25491018,08-02-2024,1.1,B (Below 100% potential spares purchased),,Bikram  Sahoo,19-Feb-24,19-Feb-27,12-Jan-24,CC-01860578,,2220,2350,2510,2652,2876,2800,2810,05-02-2026,2810,0,2810,14-02-2026,0,0,0,0,0,0,19-02-2024,2810,717,,,0,19-02-2024,2810,717,0,19-02-2024,2810,717,0,19-02-2024,2810,717,0,19-02-2024,2810,717,Active,,,0,13-Feb-26,13-Feb-26,13-Feb-26,13-Feb-26,13-Feb-26,23-Oct-25,13-Feb-26,23-Oct-25,23-Oct-25
Out of Warranty,A,BWLD231334,DPSAC - SKID (C&M),Out of warranty,PG 1100,ABHISHEK SONI,BWLD231334,"BARKAGAON, HAZARIBAGH",,,25479934,,,A (100% potential spares purchased),,Bikram  Sahoo,07-Aug-23,07-Aug-25,30-Mar-23,CC-01857000,,4446,,4670,4799,4987,0,4670,05-02-2026,4670,0,5050,25-02-2026,0,0,0,0,0,0,07-08-2023,4670,913,,,0,07-08-2023,4670,913,0,07-08-2023,4670,913,0,07-08-2023,4670,913,0,07-08-2023,4670,913,Active,,,0,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26
Out of Warranty,A,BWJL153357,EPSAC - TROLLEY,Out of warranty,PG 45 E-7,Bokaro Steel Ltd.,BWJL153357,BOKARO,,NA,NA,,,A (100% potential spares purchased),STEEL MILLS                                                                     ,Bikram  Sahoo,26-Apr-23,26-Apr-25,31-Jan-23,CC-01831411,,,536,,536,536,0,0,05-02-2026,536,0,No Service,NO Service,0,0,0,0,0,0,26-04-2023,536,1015,,,0,26-04-2023,536,1015,0,26-04-2023,536,1015,0,26-04-2023,536,1015,0,26-04-2023,536,1015,Active,,,0,,25-Apr-23,,,,,,,
Out of Warranty,B,BWED163871,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),INDU EARTH MOVERS,BWED163871,"BARKAGAON, HAZARIBAGH",,,PHHM113458,18-08-2024,1500,B (Below 100% potential spares purchased),,Bikram  Sahoo,09-Oct-23,09-Oct-25,28-Aug-23,CC-01834100,,3420,3470,,0,3688,0,0,05-02-2026,3688,0,1757,29-10-2024,0,0,0,0,0,0,09-10-2023,3688,849,,,0,09-10-2023,3688,849,0,09-10-2023,3688,849,0,09-10-2023,3688,849,0,09-10-2023,3688,849,Active,,,0,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24
Out of Warranty,B,BWGD163984,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),JHARKHAND SANITARY,BWGD163984,CHATRA,,,PEHM117538,04-03-2025,1945,B (Below 100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,24-Nov-23,24-Nov-25,03-Nov-23,CC-01859015,,2910,2910,2910,2910,2960,0,2910,05-02-2026,2910,0,2960,17-12-2025,0,0,0,0,0,0,24-11-2023,2910,804,,,0,24-11-2023,2910,804,0,24-11-2023,2910,804,0,24-11-2023,2910,804,0,24-11-2023,2910,804,Active,,,0,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25
Out of Warranty,B,BWHD163996,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),Jaldhara borewell,BWHD163996,"TATISILWAI, RANCHI",samarjit,ALUW06DTI,PFHM116295,19-05-2025,3623,B (Below 100% potential spares purchased),"WW END CUSTOMER - 4½""                                                           ",Bikram  Sahoo,26-Dec-23,26-Dec-25,07-Nov-23,CC-01860203,,4000,4000,4000,4000,4000,0,4565,05-02-2026,4565,0,4565,11-02-2026,0,0,0,0,0,0,26-12-2023,4565,772,,,0,26-12-2023,4565,772,0,26-12-2023,4565,772,0,26-12-2023,4565,772,0,26-12-2023,4565,772,Active,,,0,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26,10-Feb-26
Out of Warranty,B,BVID121539,DPSAC - SKID (C&M),Out of warranty,PG 330-100,Daewoo L&T JV Bidupur,BVID121539,"BIDPUR, VAISHALI, BIHAR",,,NBHM118722,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,27-Jan-23,27-Jan-25,22-Dec-22,CC-01831319,,,1850,,2023,2164,0,0,05-02-2026,2164,0,1150,NO Service,0,0,0,0,0,0,27-01-2023,2164,1104,,,0,27-01-2023,2164,1104,0,27-01-2023,2164,1104,0,27-01-2023,2164,1104,0,27-01-2023,2164,1104,Active,,,0,,,,,,,,,
Out of Warranty,B,BXKD231832,DPSAC - TROLLEY (C&M),Out of warranty,PG 185-100,DAEWOO- L&T JV,BXKD231832,"RAGOPUR, NEPAL BORDER",,KUBOTA V2403,7PQ8749,#N/A,#N/A,B (Below 100% potential spares purchased),,Bikram  Sahoo,05-Mar-24,05-Mar-26,21-Feb-24,CC-01860389,,260,260,260,260,260,260,260,05-02-2026,260,0,No Service,NO Service,0,0,0,0,0,0,05-03-2024,260,702,,,0,05-03-2024,260,702,0,05-03-2024,260,702,0,05-03-2024,260,702,0,05-03-2024,260,702,Active,,,0,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24,03-Mar-24
Out of Warranty,A,BWAD163680,DPSAC - SKID (C&M),Out of warranty,PG 500-185,Lakecity infraprojects Pvt. Ltd.,BWAD163680,"KULI, RAMGRAH",,,PKHM106643,26-12-2024,2350,A (100% potential spares purchased),FOOD PROCESSING INDUSTRY.                                                       ,Bikram  Sahoo,13-May-23,13-May-25,29-Apr-23,CC-01856907,,4620,,4790,4887,5028,0,5100,05-02-2026,5100,0,5100,19-02-2026,0,0,0,0,0,0,13-05-2023,5100,999,,,0,13-05-2023,5100,999,0,13-05-2023,5100,999,0,13-05-2023,5100,999,0,13-05-2023,5100,999,Active,,,0,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,A,BWLD163588,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,EVERGREEN ENTERPRISES,BWLD163588,"MUNGER, BIHAR",,,PNHM100802,,,A (100% potential spares purchased),,Bikram  Sahoo,27-Mar-23,27-Mar-25,24-Mar-23,CC-01857039,,1100,,1210,1275,1369,0,1240,05-02-2026,1240,0,0,16-08-2024,0,0,0,0,0,0,27-03-2023,1240,1045,,,0,27-03-2023,1240,1045,0,27-03-2023,1240,1045,0,27-03-2023,1240,1045,0,27-03-2023,1240,1045,Active,,,0,16-Jan-24,,,15-Aug-24,15-Aug-24,,,,
Out of Warranty,B,BWLS031915,EPSAC - TROLLEY,Out of warranty,PG 22EN-7 V2 TROLLEY MOUNTED,LARSEN & TOUBRO LIMITED,BWLS031915,#N/A,,NA,NA,#N/A,#N/A,B (Below 100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,05-Oct-23,05-Oct-25,26-Jul-23,CC-01819410,,1920,1920,,1920,1920,0,0,05-02-2026,1920,0,No Service,NO Service,0,0,0,0,0,0,05-10-2023,1920,853,,,0,05-10-2023,1920,853,0,05-10-2023,1920,853,0,05-10-2023,1920,853,0,05-10-2023,1920,853,Active,,,0,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24,04-Oct-24
Warranty,B,BWID231682,DPSAC - SKID (C&M),In Standard Warranty,PG 1100,INDU EARTH MOVERS,BWID231682,"KEREDARI, HAZARIBAGH",cummins,NTA 855 C,25490227,23-09-2024,278,B (Below 100% potential spares purchased),,Bikram  Sahoo,11-May-24,11-May-26,15-Dec-23,CC-01860536,,2080,2080,2080,2080,2080,2080,2080,05-02-2026,2080,0,0,14-11-2024,0,0,0,0,0,0,11-05-2024,2080,634,,,0,11-05-2024,2080,634,0,11-05-2024,2080,634,0,11-05-2024,2080,634,0,11-05-2024,2080,634,Active,,,0,10-May-24,13-Nov-24,10-May-24,13-Nov-24,13-Nov-24,10-May-24,10-May-24,10-May-24,10-May-24
Out of Warranty,B,BWED163867,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),INDU EARTH MOVERS,BWED163867,"BARKAGAON, HAZARIBAGH",,,PHHM113457,31-08-2024,1015,B (Below 100% potential spares purchased),,Bikram  Sahoo,21-Sep-23,21-Sep-25,28-Aug-23,CC-01857080,,3680,,3735,3767,3814,0,3750,05-02-2026,3750,0,2032,29-10-2024,0,0,0,0,0,0,21-09-2023,3750,867,,,0,21-09-2023,3750,867,0,21-09-2023,3750,867,0,21-09-2023,3750,867,0,21-09-2023,3750,867,Active,,,0,28-Oct-24,28-Oct-24,28-Oct-24,28-Oct-24,30-Apr-24,28-Oct-24,,,
Out of Warranty,A,BVGD163301,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),SHAKTI COMMERCIALS,BVGD163301,NICHITPUR,,,MHHM107152,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,15-Nov-22,15-Nov-24,14-Oct-22,CC-01857025,,4090,,4315,4444,4632,0,4375,05-02-2026,4375,0,0,30-07-2024,0,0,0,0,0,0,15-11-2022,4375,1178,,,0,15-11-2022,4375,1178,0,15-11-2022,4375,1178,0,15-11-2022,4375,1178,0,15-11-2022,4375,1178,Active,,,0,09-Apr-23,29-Jul-24,29-Jul-24,08-Oct-24,08-Oct-24,29-Jul-24,29-Jul-24,29-Jul-24,
Out of Warranty,B,BVHD163393,DPSAC - SKID (C&M),Out of warranty,PG 575-225 (SKID),SRI LAXMI DRILLERS,BVHD163393,"PHOOLWARTAND, DHANBAD",,,NBHM118853,,,A (100% potential spares purchased),MINING                                                                          ,Debraj Manna,28-Jan-23,28-Jan-25,30-Nov-22,CC-01507889,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,3400,23-09-2024,0,0,0,0,0,0,28-01-2023,#N/A,1104,,,0,28-01-2023,#N/A,1104,0,28-01-2023,#N/A,1104,0,28-01-2023,#N/A,1104,0,28-01-2023,#N/A,1104,"Shifted to Sonepur Bazari, WB ( MITRA COMMERCIAL & AUTOMOBILES LLP.)","Shifted to Sonepur Bazari, WB ( MITRA COMMERCIAL & AUTOMOBILES LLP.)",,,22-Sep-24,22-Sep-24,22-Sep-24,22-Sep-24,19-Oct-23,22-Sep-24,19-Oct-23,22-Sep-24,22-Sep-24
